"id","product_id","source_name","product_url","title","offer_price","mrp","brand","model","style","color","sport_type","material","height","weight","description","image","product_attributes","tags","created_on","updated_on","num_mrp","suggested_brand_id","suggested_brand_name","is_duplicate","formatted_name","scraper_category","original_source","deleted_at","missing_at"
718911,"8354433302835","instaclubsports","https://instasport.club/products/li-ning-sg-gold-speed-76-badminton-feather-shuttlecock-pack-of-10","Li-Ning SG Gold (Speed 76) Badminton Feather Shuttlecock (Pack Of 10)","21099.0","28900.0",NULL,NULL,NULL,NULL,"Badminton",NULL,NULL,NULL,"Li-Ning SG Gold (Speed 76) Badminton Feather Shuttlecock offers unmatched performance and durability, ensuring every shot is precise and powerful.","//instasport.club/cdn/shop/files/Li-NingSGGoldBadmintonShuttlecockSpeed76x10.jpg?v=1699359421","null","{""badminton feather shuttlecock"",""Badminton shuttlecock"",""Li-Ning Badminton Shuttlecock"",nocod}","2024-05-01","2024-05-11",NULL,NULL,NULL,False,NULL,"sports","instasports",NULL,NULL
718914,"8840057323827","instaclubsports","https://instasport.club/products/sg-sunny-tonny-xtreme-black-grade-2-worlds-finest-english-willow-cricket-bat-leather-ball-sh","SG Sunny Tonny Xtreme Black - Grade 2 Worlds Finest English Willow Cricket Bat (Leather Ball) -SH","35299.0","36999.0",NULL,NULL,NULL,NULL,"Cricket",NULL,NULL,NULL,"Elevate your cricket game with the SG Sunny Tonny Xtreme Black - Grade 2 Willow Cricket Bat, meticulously designed for power hitters. Crafted from the finest English willow, this bat is your ultimate companion on the pitch.
TECHNICAL SPECIFICATION 




Willow Type 

Finest English Willow hard pressed &amp; traditionally shaped for superb stroke



Handle 

Imported cane handle with special formulation cork inserts for enhanced flexibility and shock absorption



Handle Shape 

Traditional round cane handle for superior grip and bat control



Weight 

Approx 1160-1200 gm (2.9-2.11 lbs)



Suitable For 

Leather Ball 



","//instasport.club/cdn/shop/files/SGSunnyTonnyXtremeBlack-Grade2WorldsFinestEnglishWillowCricketBat_LeatherBall.jpg?v=1709894180","null","{}","2024-05-01","2024-05-11",NULL,NULL,NULL,False,NULL,"sports","instasports",NULL,NULL
718918,"9140835844403","instaclubsports","https://instasport.club/products/one-science-carnitine-3000mg-watermelon","One Science Carnitine 3000mg - (Watermelon)","1300.0","2100.0",NULL,NULL,NULL,NULL,"Nutrition",NULL,NULL,NULL,"Discover the power of Carnitine 3000mg by One Science, the ultimate supplement for enhancing your athletic performance.","//instasport.club/cdn/shop/files/1_46d6545f-9ef3-4782-9b11-3f9039d88f0a.webp?v=1713439160","null","{Carnitine,nutrition,Suppliment}","2024-05-01","2024-05-11",NULL,NULL,NULL,False,NULL,"sports","instasports",NULL,NULL
718919,"9140818444595","instaclubsports","https://instasport.club/products/one-science-carnitine-3000mg-mango","One Science Carnitine 3000mg - (Mango)","1300.0","2100.0",NULL,NULL,NULL,NULL,"Nutrition",NULL,NULL,NULL,"Discover the power of Carnitine 3000mg by One Science, the ultimate supplement for enhancing your athletic performance.","//instasport.club/cdn/shop/files/1_4f58a035-af59-45a1-965c-112f354feae5.webp?v=1713438964","null","{Carnitine,nutrition,suppliments}","2024-05-01","2024-05-11",NULL,NULL,NULL,False,NULL,"sports","instasports",NULL,NULL
718920,"9140732100915","instaclubsports","https://instasport.club/products/one-science-carnitine-3000mg-pineapple","One Science Carnitine 3000mg - (Pineapple)","1300.0","2100.0",NULL,NULL,NULL,NULL,"Nutrition",NULL,NULL,NULL,"Discover the power of Carnitine 3000mg by One Science, the ultimate supplement for enhancing your athletic performance.","//instasport.club/cdn/shop/files/1_b220b39c-1c7a-44f9-b705-bbbdb239dc81.webp?v=1713437843","null","{Carnitine,nutrition,suppliments}","2024-05-01","2024-05-11",NULL,NULL,NULL,False,NULL,"sports","instasports",NULL,NULL
718922,"9140698939699","instaclubsports","https://instasport.club/products/one-science-carnitine-3000mg-green-apple","One Science Carnitine 3000mg - (Green Apple)","1300.0","2100.0",NULL,NULL,NULL,NULL,"Nutrition",NULL,NULL,NULL,"Discover the power of Carnitine 3000mg by One Science, the ultimate supplement for enhancing your athletic performance.","//instasport.club/cdn/shop/files/1_89324917-e674-4b5b-86f6-210a6302bffd.webp?v=1713437355","null","{Carnitine,nutrition,suppliments}","2024-05-01","2024-05-11",NULL,NULL,NULL,False,NULL,"sports","instasports",NULL,NULL
718923,"9131284169011","instaclubsports","https://instasport.club/products/myfitness-chocolate-crunchy-peanut-butter","MYFITNESS Chocolate Crunchy Peanut Butter","279.0","339.0",NULL,NULL,NULL,NULL,"Nutrition",NULL,NULL,NULL,"MYFITNESS Chocolate Crunchy Peanut Butter is a delicious and wholesome spread that combines the rich taste of chocolate with the satisfying crunch of peanut butter. It is a protein-packed, flavorful addition to your daily meals.","//instasport.club/cdn/shop/files/1_90f92ffb-d1c9-4cf3-a174-582927979810.webp?v=1713349052","null","{nutrition,""Peanut Butter"",suppliments}","2024-05-01","2024-05-11",NULL,NULL,NULL,False,NULL,"sports","instasports",NULL,NULL
718924,"9131227513139","instaclubsports","https://instasport.club/products/myfitness-chocolate-crispy-peanut-butter","MYFITNESS Chocolate Crispy Peanut Butter","279.0","339.0",NULL,NULL,NULL,NULL,"Nutrition",NULL,NULL,NULL,"Discover MYFITNESS Chocolate Crispy Peanut Butter, a delicious blend of smooth peanut butter and crispy chocolate crunch. Perfect for fitness enthusiasts looking for a protein-packed treat that satisfies cravings.","//instasport.club/cdn/shop/files/1_423dcabb-2336-443d-b1d2-e518866c0588.webp?v=1713348807","null","{nutrition,""Peanut Butter"",suppliments}","2024-05-01","2024-05-11",NULL,NULL,NULL,False,NULL,"sports","instasports",NULL,NULL
718925,"9127561232691","instaclubsports","https://instasport.club/products/myfitness-smooth-chocolate-peanut-butter","MYFITNESS Smooth Chocolate Peanut Butter","279.0","649.0",NULL,NULL,NULL,NULL,"Nutrition",NULL,NULL,NULL,"Fuel your workouts with MYFITNESS Chocolate Peanut Butter Smooth, a deliciously rich blend of protein and flavor.","//instasport.club/cdn/shop/files/1_cac7618f-e9b8-4a79-b034-0f6940bb354f.webp?v=1713349163","null","{nutrition,""Peanut Butter""}","2024-05-01","2024-05-11",NULL,NULL,NULL,False,NULL,"sports","instasports",NULL,NULL
718926,"9130934403379","instaclubsports","https://instasport.club/products/myfitness-natural-crunchy-peanut-butter","MYFITNESS Natural Crunchy Peanut Butter","529.0","649.0",NULL,NULL,NULL,NULL,"Nutrition",NULL,NULL,NULL,"Experience the perfect blend of taste and nutrition with MYFITNESS Natural Crunchy Peanut Butter. Made with the finest roasted peanuts, it's a wholesome, protein-packed spread perfect for healthy snacks and recipes.","//instasport.club/cdn/shop/files/1_3acb0615-6cbf-4eba-aa03-31768b8eff90.webp?v=1713349922","null","{nutrition,""Peanut Butter"",suppliments}","2024-05-01","2024-05-11",NULL,NULL,NULL,False,NULL,"sports","instasports",NULL,NULL
